Country,Continent,HDI,Happiness,GDP_pc,Life_exp,Pop,Regime,Democracy
Bosnia and Herzegovina,EUR,HIGH,5.129,5805.516,77.4,3.28,Hybrid,0
Ecuador,AMER,HIGH,5.973,6263.192,76.2,17.643,Hybrid,0
El Salvador,AMER,MEDIUM,6.167,4596.227,73.5,6.486,Hybrid,0
Georgia,EUR,V_HIGH,4.34,4370.177,74.4,3.989,Hybrid,0
Guatemala,AMER,MEDIUM,6.382,4770.736,71.9,17.915,Hybrid,0
Honduras,AMER,MEDIUM,5.504,2851.21,74.6,9.904,Hybrid,0
Hong Kong,ASIAP,V_HIGH,5.43,48829.217,84.3,7.496,Hybrid,0
Ivory Coast,AFR,LOW,4.671,1879.904,53.5,26.38,Hybrid,0
Kenya,AFR,MEDIUM,4.41,1837.71,63.4,53.771,Hybrid,0
Liberia,AFR,LOW,3.495,722.263,61.4,5.507,Hybrid,0
Madagascar,AFR,LOW,3.774,479.047,65.5,27.691,Hybrid,0
Malawi,AFR,LOW,3.587,342.061,58.3,19.129,Hybrid,0
Mauritania,AFR,LOW,4.356,1368.99,63.1,4.649,Hybrid,0
Mexico,AMER,HIGH,6.488,9723.043,76.7,128.932,Hybrid,0
Morocco,AFR,MEDIUM,5.254,3435.475,74.3,36.91,Hybrid,0
Nepal,ASIAP,MEDIUM,4.88,918.986,69.2,30.03,Hybrid,0
Nigeria,AFR,LOW,5.155,2107.61,54.5,206.139,Hybrid,0
Pakistan,ASIAP,MEDIUM,5.472,1629,66.4,220.892,Hybrid,0
Paraguay,AMER,HIGH,5.681,4578.328,74,7.132,Hybrid,0
Senegal,AFR,LOW,4.631,1208.518,66.7,16.743,Hybrid,0
Sierra Leone,AFR,LOW,4.571,505.101,50.1,7.976,Hybrid,0
Tanzania,AFR,LOW,3.303,1110.05,61.8,59.734,Hybrid,0
Tunisia,AFR,HIGH,4.592,3462.822,75.3,11.818,Hybrid,0
Turkey,EUR,V_HIGH,5.483,11114.258,75.8,84.339,Hybrid,0
Uganda,AFR,LOW,4.161,711.338,62.3,45.741,Hybrid,0
Ukraine,EUR,HIGH,4.103,2820.606,71.3,43.733,Hybrid,0
Zambia,AFR,MEDIUM,4.377,1475.733,61.8,18.383,Hybrid,0
